"","price_open","price_high","price_low","price_close","volume","price_adjusted","ref_date","ticker","ret_adjusted_prices","ret_closing_prices"
"1029",9.49,9.53,9.12,9.31,16166300,9.165796,2018-10-11,"USIM5.SA",0.00431494685317868,0.00431499460625684
"1030",9.47,9.79,9.4,9.67,17743000,9.52022,2018-10-15,"USIM5.SA",0.0386681091309473,0.0386680988184747
"1031",9.9,10.06,9.86,9.91,16803300,9.756502,2018-10-16,"USIM5.SA",0.0248189642676324,0.0248190279214064
"1032",9.87,9.97,9.63,9.88,14036700,9.726966,2018-10-17,"USIM5.SA",-0.00302731450267735,-0.00302724520686171
"1033",9.86,9.98,9.65,9.66,14282500,9.510374,2018-10-18,"USIM5.SA",-0.022267169433922,-0.0222672064777328
"1034",9.85,9.9,9.62,9.7,11576800,9.549754,2018-10-19,"USIM5.SA",0.00414074146821131,0.00414078674948226
"1035",9.9,10.56,9.85,10.45,24346100,10.288137,2018-10-22,"USIM5.SA",0.0773195833107325,0.0773195876288659
"1036",10.19,10.32,10.08,10.2,22980900,10.04201,2018-10-23,"USIM5.SA",-0.023923378936342,-0.0239234449760766
"1037",10.33,10.39,9.65,9.7,26019700,9.549754,2018-10-24,"USIM5.SA",-0.0490196683731643,-0.0490196078431373
"1038",9.87,9.99,9.69,9.9,14098100,9.746656,2018-10-25,"USIM5.SA",0.0206185415875633,0.0206185567010311
"1039",10.2,10.22,9.83,10.06,26914100,9.904179,2018-10-26,"USIM5.SA",0.0161617481934315,0.0161616161616163
"1040",10.21,10.31,9.77,10.03,28196900,9.874643,2018-10-29,"USIM5.SA",-0.00298217550389568,-0.0029821073558649
"1041",10.2,10.55,10.07,10.36,22554300,10.199532,2018-10-30,"USIM5.SA",0.0329013413446946,0.032901296111665
"1042",10.45,10.7,10.11,10.28,22624300,10.12077,2018-10-31,"USIM5.SA",-0.00772211901487241,-0.00772200772200771
"1043",10.34,10.35,10.05,10.12,18909200,9.963249,2018-11-01,"USIM5.SA",-0.0155641319781006,-0.0155642023346304
"1044",10.23,10.27,10.07,10.19,12802200,10.032164,2018-11-05,"USIM5.SA",0.00691692037406688,0.0069169960474309
"1045",10.09,10.12,9.93,9.93,11008400,9.776193,2018-11-06,"USIM5.SA",-0.025515033446423,-0.0255152109911678
"1046",10.05,10.1,9.72,9.81,10505900,9.658051,2018-11-07,"USIM5.SA",-0.0120846632221765,-0.012084592145015
"1047",9.9,10.02,9.66,9.7,12668700,9.549754,2018-11-08,"USIM5.SA",-0.0112131319248573,-0.0112130479102958
"1048",9.7,10.05,9.51,10.02,23798200,9.864799,2018-11-09,"USIM5.SA",0.0329898550266321,0.0329896907216496
"1049",10.05,10.05,9.67,9.7,14991500,9.549754,2018-11-12,"USIM5.SA",-0.0319362817225165,-0.031936127744511
"1050",9.78,9.81,9.37,9.41,13575300,9.264246,2018-11-13,"USIM5.SA",-0.0298968957734409,-0.0298969072164947
"1051",9.47,9.48,9.03,9.15,20478000,9.008273,2018-11-14,"USIM5.SA",-0.0276302032566924,-0.0276301806588736
"1052",9.27,9.84,9.25,9.79,16966800,9.63836,2018-11-16,"USIM5.SA",0.0699453713270013,0.0699453551912568
"1053",9.68,9.68,9.26,9.34,17901400,9.195332,2018-11-19,"USIM5.SA",-0.0459650811963861,-0.0459652706843717
"1054",9.1,9.31,9,9.21,12747000,9.067344,2018-11-21,"USIM5.SA",-0.0139188014092368,-0.0139186295503211
"1055",9.25,9.3,9.06,9.06,7348000,8.919668,2018-11-22,"USIM5.SA",-0.0162865774145109,-0.0162866449511401
"1056",9.05,9.05,8.54,8.62,17649500,8.486483,2018-11-23,"USIM5.SA",-0.0485651483889311,-0.0485651214128037
"1057",8.65,8.81,8.46,8.53,11955600,8.397877,2018-11-26,"USIM5.SA",-0.0104408386842937,-0.0104408352668214
"1058",8.6,8.74,8.37,8.72,13969500,8.584934,2018-11-27,"USIM5.SA",0.0222743200454116,0.0222743259085583
"1059",8.82,8.92,8.41,8.69,26274900,8.555399,2018-11-28,"USIM5.SA",-0.00344032930247351,-0.00344036697247718
"1060",8.65,9.1,8.6,8.98,16931400,8.840907,2018-11-29,"USIM5.SA",0.0333716755933884,0.0333716915995399
"1061",9,9.44,8.87,9.35,22677600,9.205176,2018-11-30,"USIM5.SA",0.0412026729836656,0.0412026726057906
"1062",9.81,9.9,9.68,9.79,21820400,9.63836,2018-12-03,"USIM5.SA",0.0470587417339985,0.0470588235294118
"1063",9.8,9.81,9.33,9.38,17655900,9.234712,2018-12-04,"USIM5.SA",-0.041879323868376,-0.0418794688457608
"1064",9.44,9.56,9.25,9.49,9539900,9.343007,2018-12-05,"USIM5.SA",0.0117269493623624,0.011727078891258
"1065",9.26,9.37,9.05,9.3,19601500,9.155951,2018-12-06,"USIM5.SA",-0.0200209632723169,-0.0200210748155953
"1066",9.26,9.56,8.95,9,21515600,8.860598,2018-12-07,"USIM5.SA",-0.0322580363306881,-0.0322580645161291
"1067",9,9.06,8.69,8.7,14264600,8.565244,2018-12-10,"USIM5.SA",-0.0333334160967464,-0.0333333333333334
"1068",8.89,8.96,8.57,8.75,15305200,8.61447,2018-12-11,"USIM5.SA",0.00574718011535924,0.00574712643678166
"1069",8.91,9.4,8.91,9.36,27624300,9.215021,2018-12-12,"USIM5.SA",0.0697142134106914,0.0697142857142856
"1070",9.42,9.65,9.36,9.65,20763100,9.500529,2018-12-13,"USIM5.SA",0.0309828919543429,0.0309829059829061
"1071",9.47,9.63,9.36,9.38,12516500,9.234712,2018-12-14,"USIM5.SA",-0.0279791788436202,-0.0279792746113989
"1072",9.48,9.92,9.47,9.79,23165600,9.63836,2018-12-17,"USIM5.SA",0.0437098633936825,0.0437100213219614
"1073",9.84,9.97,9.55,9.6,17307000,9.451304,2018-12-18,"USIM5.SA",-0.0194074510601389,-0.0194075587334014
"1074",9.8,9.99,9.7,9.7,16127500,9.549754,2018-12-19,"USIM5.SA",0.0104165520440354,0.0104166666666667
"1075",9.81,9.88,9.15,9.25,26460700,9.106725,2018-12-20,"USIM5.SA",-0.046391666214648,-0.0463917525773195
"1076",9.26,9.37,9.18,9.21,15101300,9.067344,2018-12-21,"USIM5.SA",-0.00432438664832868,-0.00432432432432428
"1077",9.08,9.16,8.85,9.15,12325700,9.008273,2018-12-26,"USIM5.SA",-0.00651469713733144,-0.00651465798045603
"1078",9.17,9.19,8.92,9,11581600,8.860598,2018-12-27,"USIM5.SA",-0.016393264280512,-0.0163934426229508
"1079",9.17,9.3,9.09,9.22,14571200,9.077189,2018-12-28,"USIM5.SA",0.0244442869431614,0.0244444444444445
"1080",9.21,9.9,9.12,9.76,21585400,9.608826,2019-01-02,"USIM5.SA",0.058568462108699,0.0585683297180042
"1081",9.7,9.96,9.33,9.55,18658000,9.402078,2019-01-03,"USIM5.SA",-0.0215164682969596,-0.0215163934426229
"1082",9.7,10.22,9.65,10.11,29301300,9.953403,2019-01-04,"USIM5.SA",0.0586386328639266,0.0586387434554971
"1083",10.16,10.36,10.02,10.13,15089000,9.973094,2019-01-07,"USIM5.SA",0.0019783183701092,0.00197823936696362
"1084",10.2,10.23,9.72,9.77,18263400,9.694453,2019-01-08,"USIM5.SA",-0.0279392734090343,-0.0355380059230012
"1085",9.9,10.17,9.84,10.09,13946900,10.011978,2019-01-09,"USIM5.SA",0.0327532662234784,0.0327533265097237
"1086",9.99,10.38,9.95,10.33,14498400,10.250122,2019-01-10,"USIM5.SA",0.0237859092379149,0.0237859266600595
"1087",10.3,10.36,10.1,10.18,17531700,10.101283,2019-01-11,"USIM5.SA",-0.0145207052169719,-0.0145208131655373
"1088",9.95,10.03,9.81,9.87,17823400,9.793679,2019-01-14,"USIM5.SA",-0.030451973279038,-0.0304518664047152
"1089",9.9,10.02,9.62,9.74,15990100,9.664684,2019-01-15,"USIM5.SA",-0.0131712505586511,-0.0131712259371833
"1090",9.78,10.05,9.67,9.99,18596900,9.912751,2019-01-16,"USIM5.SA",0.0256673679139432,0.0256673511293635
"1091",9.95,10.16,9.9,9.98,17116900,9.902828,2019-01-17,"USIM5.SA",-0.00100103392085615,-0.00100100100100098
"1092",10.07,10.13,9.91,9.94,13642600,9.863138,2019-01-18,"USIM5.SA",-0.00400794601299748,-0.00400801603206424
"1093",9.95,10.12,9.82,10.05,10685600,9.972288,2019-01-21,"USIM5.SA",0.0110664577541144,0.0110663983903421
"1094",10,10.03,9.75,9.76,19852700,9.68453,2019-01-22,"USIM5.SA",-0.0288557650962347,-0.0288557213930349
"1095",9.86,9.98,9.63,9.72,29318000,9.644839,2019-01-23,"USIM5.SA",-0.00409839197152584,-0.00409836065573765
"1096",9.8,9.93,9.76,9.8,15716000,9.724221,2019-01-24,"USIM5.SA",0.00823051582302203,0.00823045267489708
"1097",9.6,9.88,9.53,9.72,21052300,9.644839,2019-01-28,"USIM5.SA",-0.00816332742746184,-0.00816326530612244
"1098",9.83,9.87,9.7,9.7,10236600,9.624994,2019-01-29,"USIM5.SA",-0.00205757711455834,-0.00205761316872444
"1099",9.83,10.11,9.77,9.9,27060500,9.823447,2019-01-30,"USIM5.SA",0.0206185063595885,0.0206185567010311
"1100",10,10.04,9.72,9.81,15458600,9.734144,2019-01-31,"USIM5.SA",-0.00909080081564029,-0.00909090909090904
"1101",9.85,9.91,9.65,9.69,17225600,9.615071,2019-02-01,"USIM5.SA",-0.0122325085801073,-0.0122324159021407
"1102",9.69,9.78,9.56,9.78,13117500,9.704375,2019-02-04,"USIM5.SA",0.00928791893476411,0.00928792569659431
"1103",9.75,9.87,9.7,9.8,12865000,9.724221,2019-02-05,"USIM5.SA",0.00204505699748814,0.00204498977505119
"1104",9.75,9.8,9.35,9.35,16846300,9.2777,2019-02-06,"USIM5.SA",-0.04591843398047,-0.0459183673469389
"1105",9.37,9.68,9.25,9.44,21334400,9.367004,2019-02-07,"USIM5.SA",0.00962566153249189,0.00962566844919777
"1106",9.38,9.64,9.28,9.62,17485100,9.545612,2019-02-08,"USIM5.SA",0.0190677830392727,0.0190677966101696
"1107",9.7,9.74,9.5,9.58,7809100,9.505922,2019-02-11,"USIM5.SA",-0.00415793141393139,-0.00415800415800405
