"","price_open","price_high","price_low","price_close","volume","price_adjusted","ref_date","ticker","ret_adjusted_prices","ret_closing_prices"
"633",4.64,4.68,4.46,4.54,11066500,4.54,2019-03-01,"VVAR3.SA",-0.00873362445414849,-0.00873362445414849
"634",4.54,4.56,4.39,4.39,8513200,4.39,2019-03-06,"VVAR3.SA",-0.0330396475770925,-0.0330396475770925
"635",4.38,4.54,4.33,4.41,16023800,4.41,2019-03-07,"VVAR3.SA",0.00455580865603644,0.00455580865603644
"636",4.4,4.68,4.39,4.68,15020100,4.68,2019-03-08,"VVAR3.SA",0.0612244897959182,0.0612244897959182
"637",4.69,4.85,4.68,4.76,10833900,4.76,2019-03-11,"VVAR3.SA",0.017094017094017,0.017094017094017
"638",4.76,4.88,4.74,4.84,10933300,4.84,2019-03-12,"VVAR3.SA",0.0168067226890756,0.0168067226890756
"639",4.82,4.84,4.61,4.62,14137600,4.62,2019-03-13,"VVAR3.SA",-0.0454545454545454,-0.0454545454545454
"640",4.66,4.71,4.57,4.64,8916700,4.64,2019-03-14,"VVAR3.SA",0.00432900432900429,0.00432900432900429
"641",4.67,4.69,4.54,4.54,8328500,4.54,2019-03-15,"VVAR3.SA",-0.0215517241379309,-0.0215517241379309
"642",4.57,4.59,4.53,4.59,6944000,4.59,2019-03-18,"VVAR3.SA",0.0110132158590308,0.0110132158590308
"643",4.61,4.68,4.59,4.64,7387800,4.64,2019-03-19,"VVAR3.SA",0.0108932461873639,0.0108932461873639
"644",4.66,4.67,4.58,4.58,5691700,4.58,2019-03-20,"VVAR3.SA",-0.0129310344827586,-0.0129310344827586
"645",4.59,4.61,4.39,4.55,12660800,4.55,2019-03-21,"VVAR3.SA",-0.00655021834061142,-0.00655021834061142
"646",4.45,4.48,4.32,4.33,13054200,4.33,2019-03-22,"VVAR3.SA",-0.0483516483516483,-0.0483516483516483
"647",4.34,4.38,4.23,4.33,8030400,4.33,2019-03-25,"VVAR3.SA",0,0
"648",4.38,4.43,4.33,4.36,6715800,4.36,2019-03-26,"VVAR3.SA",0.00692840646651272,0.00692840646651272
"649",4.33,4.33,4.03,4.11,18217500,4.11,2019-03-27,"VVAR3.SA",-0.0573394495412844,-0.0573394495412844
"650",4.15,4.24,4.01,4.18,13751800,4.18,2019-03-28,"VVAR3.SA",0.0170316301703162,0.0170316301703162
"651",4.25,4.29,4.18,4.22,11337300,4.22,2019-03-29,"VVAR3.SA",0.00956937799043067,0.00956937799043067
"652",4.29,4.32,4.23,4.27,4589100,4.27,2019-04-01,"VVAR3.SA",0.0118483412322274,0.0118483412322274
"653",4.28,4.62,4.21,4.55,14957300,4.55,2019-04-02,"VVAR3.SA",0.0655737704918034,0.0655737704918034
"654",4.65,4.68,4.38,4.38,18421000,4.38,2019-04-03,"VVAR3.SA",-0.0373626373626373,-0.0373626373626373
"655",4.4,4.45,4.26,4.38,10879000,4.38,2019-04-04,"VVAR3.SA",0,0
"656",4.41,4.57,4.35,4.53,10630600,4.53,2019-04-05,"VVAR3.SA",0.0342465753424659,0.0342465753424659
"657",4.57,4.6,4.37,4.37,9710600,4.37,2019-04-08,"VVAR3.SA",-0.0353200883002208,-0.0353200883002208
"658",4.39,4.41,4.31,4.34,5577000,4.34,2019-04-09,"VVAR3.SA",-0.00686498855835249,-0.00686498855835249
"659",4.39,4.39,4.28,4.31,5043200,4.31,2019-04-10,"VVAR3.SA",-0.00691244239631339,-0.00691244239631339
"660",4.33,4.34,4.24,4.29,7283600,4.29,2019-04-11,"VVAR3.SA",-0.00464037122969829,-0.00464037122969829
"661",4.24,4.27,4.12,4.16,10958200,4.16,2019-04-12,"VVAR3.SA",-0.0303030303030303,-0.0303030303030303
"662",4.2,4.23,4.12,4.15,6672300,4.15,2019-04-15,"VVAR3.SA",-0.00240384615384615,-0.00240384615384615
"663",4.15,4.17,3.99,4.01,20953600,4.01,2019-04-16,"VVAR3.SA",-0.0337349397590363,-0.0337349397590363
"664",4.04,4.11,3.89,3.92,25235500,3.92,2019-04-17,"VVAR3.SA",-0.0224438902743141,-0.0224438902743141
"665",3.96,3.99,3.9,3.95,16526400,3.95,2019-04-18,"VVAR3.SA",0.00765306122448983,0.00765306122448983
"666",3.95,3.98,3.8,3.84,11548700,3.84,2019-04-22,"VVAR3.SA",-0.0278481012658228,-0.0278481012658228
"667",3.87,4.03,3.87,3.93,19778900,3.93,2019-04-23,"VVAR3.SA",0.0234375,0.0234375
"668",3.89,4.06,3.86,3.93,17137100,3.93,2019-04-24,"VVAR3.SA",0,0
"669",3.97,4.11,3.97,4.02,23270000,4.02,2019-04-25,"VVAR3.SA",0.0229007633587786,0.0229007633587786
"670",4.04,4.08,3.99,4.03,12824000,4.03,2019-04-26,"VVAR3.SA",0.00248756218905499,0.00248756218905499
"671",4.09,4.16,4.05,4.12,11802800,4.12,2019-04-29,"VVAR3.SA",0.0223325062034738,0.0223325062034738
"672",4.15,4.21,4.06,4.1,12062900,4.1,2019-04-30,"VVAR3.SA",-0.00485436893203894,-0.00485436893203894
"673",4.07,4.14,4.03,4.14,8217800,4.14,2019-05-02,"VVAR3.SA",0.00975609756097562,0.00975609756097562
"674",4.43,4.55,4.37,4.52,36316100,4.52,2019-05-03,"VVAR3.SA",0.0917874396135265,0.0917874396135265
"675",4.44,4.68,4.41,4.56,23288600,4.56,2019-05-06,"VVAR3.SA",0.00884955752212391,0.00884955752212391
"676",4.62,4.72,4.6,4.72,23106900,4.72,2019-05-07,"VVAR3.SA",0.0350877192982457,0.0350877192982457
"677",4.79,4.92,4.51,4.53,35307500,4.53,2019-05-08,"VVAR3.SA",-0.0402542372881355,-0.0402542372881355
"678",4.45,4.75,4.33,4.74,32166700,4.74,2019-05-09,"VVAR3.SA",0.0463576158940397,0.0463576158940397
"679",4.77,4.8,4.55,4.61,25329400,4.61,2019-05-10,"VVAR3.SA",-0.0274261603375527,-0.0274261603375527
"680",4.51,4.76,4.46,4.73,34299200,4.73,2019-05-13,"VVAR3.SA",0.0260303687635575,0.0260303687635575
"681",4.83,4.85,4.55,4.55,23582500,4.55,2019-05-14,"VVAR3.SA",-0.0380549682875265,-0.0380549682875265
"682",4.51,4.52,4.3,4.3,19826700,4.3,2019-05-15,"VVAR3.SA",-0.054945054945055,-0.054945054945055
"683",4.28,4.36,4.06,4.09,23608200,4.09,2019-05-16,"VVAR3.SA",-0.0488372093023256,-0.0488372093023256
"684",4.09,4.17,3.97,4.03,19873900,4.03,2019-05-17,"VVAR3.SA",-0.0146699266503667,-0.0146699266503667
"685",4.05,4.2,4,4.11,12621500,4.11,2019-05-20,"VVAR3.SA",0.0198511166253101,0.0198511166253101
"686",4.14,4.32,4.12,4.31,15512800,4.31,2019-05-21,"VVAR3.SA",0.0486618004866177,0.0486618004866177
"687",4.35,4.42,4.23,4.32,15261100,4.32,2019-05-22,"VVAR3.SA",0.00232018561484937,0.00232018561484937
"688",4.26,4.3,4.18,4.2,10015900,4.2,2019-05-23,"VVAR3.SA",-0.0277777777777778,-0.0277777777777778
"689",4.26,4.28,4.16,4.2,6734000,4.2,2019-05-24,"VVAR3.SA",0,0
"690",4.24,4.32,4.24,4.26,5251900,4.26,2019-05-27,"VVAR3.SA",0.0142857142857142,0.0142857142857142
"691",4.29,4.41,4.27,4.41,10471200,4.41,2019-05-28,"VVAR3.SA",0.035211267605634,0.035211267605634
"692",4.45,4.59,4.44,4.58,17431100,4.58,2019-05-29,"VVAR3.SA",0.038548752834467,0.038548752834467
"693",4.68,4.92,4.63,4.8,32683700,4.8,2019-05-30,"VVAR3.SA",0.0480349344978166,0.0480349344978166
"694",4.74,4.83,4.65,4.7,16098400,4.7,2019-05-31,"VVAR3.SA",-0.0208333333333333,-0.0208333333333333
"695",4.9,4.96,4.76,4.96,23521300,4.96,2019-06-03,"VVAR3.SA",0.0553191489361702,0.0553191489361702
"696",5.14,5.22,4.86,4.86,28028800,4.86,2019-06-04,"VVAR3.SA",-0.0201612903225806,-0.0201612903225806
"697",4.78,4.84,4.62,4.65,18375000,4.65,2019-06-05,"VVAR3.SA",-0.0432098765432098,-0.0432098765432098
"698",5.01,5.03,4.72,4.95,36905900,4.95,2019-06-06,"VVAR3.SA",0.064516129032258,0.064516129032258
"699",4.97,5.03,4.88,5,16666300,5,2019-06-07,"VVAR3.SA",0.0101010101010102,0.0101010101010102
"700",4.95,5.08,4.91,5.06,14333300,5.06,2019-06-10,"VVAR3.SA",0.012,0.012
"701",5.1,5.11,4.97,5,15280300,5,2019-06-11,"VVAR3.SA",-0.0118577075098814,-0.0118577075098814
"702",4.81,4.94,4.78,4.84,54327400,4.84,2019-06-12,"VVAR3.SA",-0.032,-0.032
"703",4.87,5.08,4.83,5.04,42447100,5.04,2019-06-13,"VVAR3.SA",0.0413223140495869,0.0413223140495869
"704",4.97,5.15,4.9,4.97,539987500,4.97,2019-06-14,"VVAR3.SA",-0.013888888888889,-0.013888888888889
"705",5.01,5.07,4.98,5.07,29082700,5.07,2019-06-17,"VVAR3.SA",0.0201207243460766,0.0201207243460766
"706",5.14,5.23,5.04,5.07,29776100,5.07,2019-06-18,"VVAR3.SA",0,0
"707",5.11,5.13,4.96,5.06,20698000,5.06,2019-06-19,"VVAR3.SA",-0.00197238658777132,-0.00197238658777132
"708",5.07,5.16,5.03,5.1,16586500,5.1,2019-06-21,"VVAR3.SA",0.0079051383399209,0.0079051383399209
"709",5.12,5.14,5.07,5.11,15109900,5.11,2019-06-24,"VVAR3.SA",0.00196078431372571,0.00196078431372571
"710",5.1,5.12,4.98,5.04,17019100,5.04,2019-06-25,"VVAR3.SA",-0.0136986301369864,-0.0136986301369864
"711",5.07,5.09,4.97,4.98,18839800,4.98,2019-06-26,"VVAR3.SA",-0.0119047619047619,-0.0119047619047619
"712",4.98,5.02,4.84,4.97,21062100,4.97,2019-06-27,"VVAR3.SA",-0.00200803212851419,-0.00200803212851419
"713",5.01,5.1,4.98,5.07,23778400,5.07,2019-06-28,"VVAR3.SA",0.0201207243460766,0.0201207243460766
